POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
4797,1000,289,60
9055,1000,942,104
7090,1000,513,72
5108,1000,352,69
4757,1000,363,76
3197,1000,222,69
3036,1000,261,86
7121,1000,290,41
3627,1000,101,28
10048,1000,442,44
14643,1000,581,40
14651,1000,1023,70
4515,1000,224,50
4155,1000,337,81
6771,1000,474,70
10716,1000,448,42
13028,1000,841,65
8089,1000,511,63
18058,1000,1311,73
14915,1000,1492,100
8229,1000,711,86
8789,1000,767,87
9935,1000,458,46
4632,1005,327,71
3346,1005,234,70
3733,1005,283,76
3754,1005,315,84
8770,1005,942,107
9006,1005,834,93
6043,1005,474,78
5067,1005,544,107
3851,1005,669,174
3798,1005,389,102
6490,1010,646,100
10220,1010,1287,126
4666,1010,414,89
8814,1010,584,66
3560,1010,179,50
14910,1010,908,61
4007,1010,256,64
5336,1010,212,40
9996,1010,1771,177
17868,1010,1019,57
12706,1010,1297,102
3755,1015,309,82
5388,1015,410,76
4064,1015,301,74
3932,1015,252,64
4181,1015,252,60
3344,1015,422,126
7014,1015,460,66
6398,1015,387,60
6878,1015,386,56
4025,1020,425,106
3774,1020,332,88
6799,1020,359,53
8260,1020,383,46
6769,1020,260,38
17142,1020,1104,64
3093,1020,277,90
3155,1025,292,93
3807,1025,353,93
3574,1025,539,151
3618,1025,536,148
5167,1025,543,105
8138,1025,888,109
4528,1025,606,134
6745,1025,636,94
4439,1025,525,118
3720,1025,319,86
4946,1025,437,88
7509,1025,534,71
3324,1025,298,90
5927,1025,579,98
4898,1025,322,66
7930,1025,740,93
6634,1025,606,91
6810,1025,462,68
7970,1025,620,78
3522,1025,412,117
15097,1025,1608,107
4739,1025,419,88
6931,1025,831,120
9183,1025,520,57
4945,1025,417,84
11006,1025,722,66
16562,1025,636,38
12075,1025,1849,153
9247,1025,630,68
4748,1025,449,95
5057,1025,328,65
19043,1030,2388,125
5605,1030,482,86
9444,1030,572,61
5102,1030,259,51
5638,1035,629,112
5273,1035,544,103
4319,1035,428,99
4021,1035,420,104
11551,1035,768,66
7605,1035,1943,255
3217,1040,510,158
5940,1040,497,84
7729,1040,722,93
8718,1040,588,67
5481,1040,460,84
3660,1045,416,114
4893,1045,571,117
9622,1045,936,97
9821,1045,954,97
6987,1045,734,105
7512,1045,822,109
3310,1045,247,75
4472,1045,222,50
15419,1045,1013,66
13889,1045,1055,76
9496,1045,462,49
6529,1045,751,115
9826,1050,1175,120
5819,1050,550,94
4435,1050,410,93
3212,1050,314,98
3125,1050,435,139
3167,1050,348,110
10278,1050,1076,105
8032,1050,1005,125
4926,1050,480,97
5974,1050,463,77
3621,1050,342,95
4820,1050,582,121
4191,1050,598,143
5262,1050,454,86
3344,1050,369,110
5040,1050,428,85
3039,1050,341,112
5119,1050,485,95
8118,1050,810,100
4575,1050,448,98
4600,1050,554,120
3038,1050,348,115
7699,1050,873,113
4328,1050,376,87
5390,1050,441,82
10011,1050,883,88
7138,1050,665,93
3766,1050,368,98
10020,1050,935,93
4672,1050,453,97
7005,1050,668,95
10693,1050,1088,102
4049,1050,425,105
7571,1050,750,99
5593,1050,680,122
6667,1050,396,59
5244,1050,422,80
9679,1050,679,70
3627,1050,261,72
5145,1050,368,72
